OrderNumber,OrderDate,CustomerCode,CustomerName,Customer Type,CurrencyCode,WarehouseCode,DeliveryName,DeliveryStreetAddress,DeliveryStreetAddress2,DeliverySuburb,DeliveryCity,DeliveryRegion,DeliveryCountry,DeliveryPostCode,DeliveryMethod,ExchangeRate,TaxRate,OrderStatus,RequiredDate,QuoteExpiryDate,CompletedDate,LastModifiedOn,SubTotal,TaxTotal,Total,CustomerRef,Order Comments,ProductCode,ProductDescription,OrderQuantity,UnitPrice,DiscountedUnitPrice,DiscountRate,AverageLandedPriceAtTimeOfSale,Volume,LineTax,LineTotal,Line Comments,Charge
SO-00000001,23/03/2017,BENEMP,Ben's Emporium,On Account,NZD,MAIN,,,,,,,,,,1.000000,0.150000,Completed,23/03/2017,,23/03/2017 6:15:47 AM,23/03/2017 6:15:47 AM,49.950,7.490,57.440,,,NAIL-L,Large Nails,1.0000,25.0000,25.0000,0.0000,9.72707142857143,,3.7500000000,25.00000000,,FALSE
SO-00000001,23/03/2017,BENEMP,Ben's Emporium,On Account,NZD,MAIN,,,,,,,,,,1.000000,0.150000,Completed,23/03/2017,,23/03/2017 6:15:47 AM,23/03/2017 6:15:47 AM,49.950,7.490,57.440,,,DININGCHAIR,Dining Chair,1.0000,24.9500,24.9500,0.0000,12.45391608391608,,3.7400000000,24.95000000,,FALSE
SO-00000002,28/03/2017,SIREEN,The House of Sireen,Cash,GBP,MAIN,,,,,,,,,,0.444400,0.150000,Completed,28/03/2017,,28/03/2017 6:15:47 AM,28/03/2017 6:15:47 AM,99.990,15.000,114.990,,,DINING, Dining Table,1.0000,99.9900,99.9900,0.0000,40.42938931297710,,15.0000000000,99.99000000,,FALSE
SO-00000003,04/04/2017,WADE,Wade's Apparel & Accessories,Cash,NZD,MAIN,,,,,,,,,,1.000000,0.150000,Completed,04/04/2017,,04/04/2017 6:15:47 AM,04/04/2017 6:15:47 AM,50.000,7.500,57.500,,,NAIL-M,Medium Nails,2.0000,25.0000,25.0000,0.0000,9.12441399416910,,7.5000000000,50.00000000,,FALSE
SO-00000004,17/04/2017,EMWAR,Emmanuel's Discount Warehouse,Wholesale,USD,MAIN,,,,,,,,,,0.672500,0.000000,Completed,17/04/2017,,17/04/2017 6:15:47 AM,17/04/2017 6:15:47 AM,99.990,0.000,99.990,,,DINING, Dining Table,1.0000,99.9900,99.9900,0.0000,40.42939080459770,,0.0000000000,99.99000000,,FALSE
SO-00000005,25/04/2017,JUNIOR,The Junior Store,On Account,USD,HQ,,,,,,,,,,0.672500,0.000000,Completed,25/04/2017,,25/04/2017 6:15:47 AM,25/04/2017 6:15:47 AM,1049.000,0.000,1049.000,,,NAIL-M,Medium Nails,2.0000,25.0000,25.0000,0.0000,9.12441348973607,,0.0000000000,50.00000000,,FALSE
SO-00000005,25/04/2017,JUNIOR,The Junior Store,On Account,USD,HQ,,,,,,,,,,0.672500,0.000000,Completed,25/04/2017,,25/04/2017 6:15:47 AM,25/04/2017 6:15:47 AM,1049.000,0.000,1049.000,,,CHAIR,Lounge Chair,1.0000,999.0000,999.0000,0.0000,489.12300000000000,,0.0000000000,999.00000000,,FALSE
SO-00000006,10/05/2017,BENEMP,Ben's Emporium,On Account,NZD,MAIN,,,,,,,,,,1.000000,0.150000,Completed,10/05/2017,,10/05/2017 6:15:47 AM,10/05/2017 6:15:47 AM,185.000,27.750,212.750,,,COUCH3,3-Seater Couch,1.0000,185.0000,185.0000,0.0000,67.80000000000000,,27.7500000000,185.00000000,,FALSE
SO-00000007,17/05/2017,PTECH,PivacTech,On Account,GBP,MAIN,,,,,,,,,,0.444400,0.150000,Completed,17/05/2017,,17/05/2017 6:15:47 AM,17/05/2017 6:15:47 AM,295.000,44.250,339.250,,,STAIN,Dark Wood Stain,2.0000,147.5000,147.5000,0.0000,80.82230057803468,,44.2500000000,295.00000000,,FALSE
SO-00000008,21/07/2017,FRANCK,Franck & Co.,Cash,USD,MAIN,,,,,,,,,,0.672500,0.150000,Completed,21/07/2017,,21/07/2017 6:15:47 AM,21/07/2017 6:15:47 AM,9.980,1.500,11.480,,,SCREWS,Box of Screws,2.0000,4.9900,4.9900,0.0000,0.00000000000000,,1.5000000000,9.98000000,,FALSE
